step 0: train loss 10.9899, val loss 10.9894
iter 1410: loss 5.6773, time 156.52ms, mfu 107.81%
iter 1420: loss 5.8636, time 155.46ms, mfu 107.85%
iter 1430: loss 5.8067, time 155.66ms, mfu 107.88%
iter 1440: loss 5.8601, time 155.88ms, mfu 107.89%
iter 1450: loss 5.8700, time 156.00ms, mfu 107.89%
iter 1460: loss 5.6772, time 155.91ms, mfu 107.90%
iter 1470: loss 5.7091, time 155.97ms, mfu 107.90%
iter 1480: loss 5.6362, time 155.12ms, mfu 107.96%
iter 1490: loss 5.6168, time 155.65ms, mfu 107.98%
iter 1500: loss 5.6140, time 155.21ms, mfu 108.03%
iter 1510: loss 5.6587, time 156.22ms, mfu 108.00%
iter 1520: loss 5.7603, time 155.88ms, mfu 108.00%
iter 1530: loss 5.6354, time 155.82ms, mfu 108.00%
iter 1540: loss 5.5314, time 155.40ms, mfu 108.03%
iter 1550: loss 5.7223, time 155.23ms, mfu 108.07%
iter 1560: loss 5.3703, time 156.01ms, mfu 108.06%
iter 1570: loss 5.8783, time 156.33ms, mfu 108.02%
iter 1580: loss 5.4925, time 156.20ms, mfu 107.99%
iter 1590: loss 5.3125, time 156.73ms, mfu 107.93%
iter 1600: loss 5.5877, time 155.89ms, mfu 107.94%
iter 1610: loss 5.5024, time 155.55ms, mfu 107.96%
iter 1620: loss 5.4768, time 155.48ms, mfu 107.99%
iter 1630: loss 5.3685, time 156.11ms, mfu 107.98%
iter 1640: loss 5.3779, time 155.84ms, mfu 107.98%
iter 1650: loss 5.3237, time 155.40ms, mfu 108.01%
iter 1660: loss 5.2878, time 155.19ms, mfu 108.06%
iter 1670: loss 5.5898, time 155.64ms, mfu 108.07%
iter 1680: loss 5.2052, time 156.72ms, mfu 108.00%
iter 1690: loss 5.5576, time 155.21ms, mfu 108.05%
iter 1700: loss 5.2273, time 155.24ms, mfu 108.09%
iter 1710: loss 5.5148, time 156.16ms, mfu 108.06%
iter 1720: loss 5.3359, time 155.23ms, mfu 108.09%
iter 1730: loss 5.0194, time 155.49ms, mfu 108.11%
iter 1740: loss 5.3596, time 155.77ms, mfu 108.10%
iter 1750: loss 5.4477, time 155.92ms, mfu 108.09%
iter 1760: loss 5.2329, time 155.63ms, mfu 108.10%
iter 1770: loss 5.0550, time 155.97ms, mfu 108.08%
iter 1780: loss 5.0323, time 155.84ms, mfu 108.07%
iter 1790: loss 4.8991, time 155.62ms, mfu 108.08%
iter 1800: loss 5.2109, time 155.88ms, mfu 108.07%
iter 1810: loss 5.0005, time 156.07ms, mfu 108.05%
iter 1820: loss 4.8821, time 155.43ms, mfu 108.07%
iter 1830: loss 5.1816, time 155.95ms, mfu 108.06%
iter 1840: loss 4.8818, time 155.69ms, mfu 108.06%
iter 1850: loss 4.9805, time 155.68ms, mfu 108.07%
iter 1860: loss 5.0345, time 155.08ms, mfu 108.12%
iter 1870: loss 4.7983, time 155.48ms, mfu 108.13%
iter 1880: loss 4.8718, time 155.18ms, mfu 108.17%
iter 1890: loss 5.0408, time 156.14ms, mfu 108.13%
iter 1900: loss 4.9938, time 155.52ms, mfu 108.14%
iter 1910: loss 5.3034, time 157.17ms, mfu 108.04%
iter 1920: loss 4.9245, time 155.63ms, mfu 108.05%
iter 1930: loss 5.0600, time 155.14ms, mfu 108.09%
iter 1940: loss 5.0628, time 155.82ms, mfu 108.09%
iter 1950: loss 4.8512, time 156.64ms, mfu 108.02%
iter 1960: loss 4.9317, time 155.61ms, mfu 108.04%
iter 1970: loss 5.0394, time 155.42ms, mfu 108.06%
iter 1980: loss 5.0324, time 155.44ms, mfu 108.09%
iter 1990: loss 4.9166, time 155.54ms, mfu 108.10%
step 2000: train loss 4.8384, val loss 4.8780
saving checkpoint to out_openwebtext
iter 2000: loss 4.6111, time 5132.63ms, mfu 97.62%
iter 2010: loss 4.7733, time 155.57ms, mfu 98.68%
iter 2020: loss 4.8995, time 155.85ms, mfu 99.61%
iter 2030: loss 4.6587, time 155.49ms, mfu 100.47%
iter 2040: loss 4.7395, time 155.48ms, mfu 101.25%
iter 2050: loss 4.7917, time 156.42ms, mfu 101.89%
iter 2060: loss 5.0907, time 156.12ms, mfu 102.48%
iter 2070: loss 5.0259, time 156.02ms, mfu 103.02%
iter 2080: loss 4.8218, time 155.78ms, mfu 103.52%
iter 2090: loss 4.7448, time 155.67ms, mfu 103.98%
iter 2100: loss 4.6902, time 155.44ms, mfu 104.42%
iter 2110: loss 4.8594, time 155.65ms, mfu 104.79%
iter 2120: loss 4.4294, time 155.55ms, mfu 105.13%
iter 2130: loss 4.8865, time 155.81ms, mfu 105.42%
iter 2140: loss 4.5961, time 155.97ms, mfu 105.67%
iter 2150: loss 4.7818, time 155.61ms, mfu 105.92%
iter 2160: loss 4.6234, time 156.08ms, mfu 106.11%
iter 2170: loss 4.6321, time 156.72ms, mfu 106.24%
iter 2180: loss 4.5851, time 155.34ms, mfu 106.45%
iter 2190: loss 4.2502, time 155.83ms, mfu 106.61%
iter 2200: loss 4.6404, time 156.13ms, mfu 106.73%
iter 2210: loss 4.4105, time 156.29ms, mfu 106.83%
iter 2220: loss 4.7895, time 156.16ms, mfu 106.92%
iter 2230: loss 4.7033, time 155.93ms, mfu 107.03%
iter 2240: loss 4.5014, time 156.16ms, mfu 107.10%
iter 2250: loss 4.4549, time 156.27ms, mfu 107.16%
iter 2260: loss 4.6048, time 156.02ms, mfu 107.24%
iter 2270: loss 4.6538, time 155.96ms, mfu 107.31%
iter 2280: loss 4.4665, time 155.74ms, mfu 107.38%
iter 2290: loss 4.4528, time 156.05ms, mfu 107.43%
iter 2300: loss 4.3584, time 155.30ms, mfu 107.53%
iter 2310: loss 4.3931, time 156.55ms, mfu 107.53%
iter 2320: loss 4.3573, time 155.23ms, mfu 107.62%
iter 2330: loss 4.2428, time 155.60ms, mfu 107.67%
iter 2340: loss 4.4690, time 155.35ms, mfu 107.74%
iter 2350: loss 4.1883, time 156.94ms, mfu 107.69%
iter 2360: loss 4.3313, time 155.78ms, mfu 107.73%
iter 2370: loss 4.1107, time 155.91ms, mfu 107.75%
iter 2380: loss 4.3997, time 155.85ms, mfu 107.78%
iter 2390: loss 4.2146, time 155.58ms, mfu 107.82%
iter 2400: loss 4.2525, time 155.80ms, mfu 107.84%
iter 2410: loss 4.4390, time 156.56ms, mfu 107.81%
iter 2420: loss 4.2945, time 156.64ms, mfu 107.77%
iter 2430: loss 4.2710, time 156.05ms, mfu 107.78%
iter 2440: loss 4.7587, time 155.93ms, mfu 107.80%
iter 2450: loss 4.4229, time 155.96ms, mfu 107.81%
iter 2460: loss 4.2182, time 156.76ms, mfu 107.77%
iter 2470: loss 4.2577, time 156.33ms, mfu 107.76%
iter 2480: loss 4.4661, time 155.71ms, mfu 107.79%
iter 2490: loss 4.4033, time 155.94ms, mfu 107.81%
iter 2500: loss 4.3947, time 156.06ms, mfu 107.81%
iter 2510: loss 3.9995, time 155.65ms, mfu 107.85%
iter 2520: loss 4.2882, time 155.68ms, mfu 107.87%
